Population,Incidence %u2013 ASR (World),Mortality %u2013 ASR (World),ÖÞ¼Ê
Eswatini,75.3,52.5,AFRICA
Malawi,72.9,54.5,AFRICA
Zambia,66.4,44.5,AFRICA
Zimbabwe,62.3,46,AFRICA
"Tanzania, United Republic of",59.1,42.7,AFRICA
Burundi,57.4,50.3,AFRICA
Uganda,54.8,40.5,AFRICA
Lesotho,52.1,39.1,AFRICA
Madagascar,51.6,37.4,AFRICA
Comoros,50.9,39.8,AFRICA
Guinea,45.5,39.7,AFRICA
Burkina Faso,45.1,39.4,AFRICA
Mali,43.9,36.2,AFRICA
South Africa,43.5,19.2,AFRICA
Mozambique,42.8,35.7,AFRICA
"Bolivia, Plurinational State of",38.5,19,LAC
Senegal,37.8,29.1,AFRICA
Liberia,37.2,32.1,AFRICA
Angola,36.1,26.2,AFRICA
Kenya,33.8,22.8,AFRICA
Ghana,32.9,23,AFRICA
Mauritania,32.9,24.8,AFRICA
Guyana,32.7,17.3,LAC
Guinea-Bissau,32.7,28.3,AFRICA
Rwanda,31.9,24.1,AFRICA
Botswana,31.6,16.9,AFRICA
Paraguay,31.5,16,LAC
Cameroon,31.3,21.9,AFRICA
Papua New Guinea,29.1,19.8,OCEANIA
The Republic of the Gambia,29,23.1,AFRICA
Côte d'Ivoire,28.6,24.1,AFRICA
Jamaica,28.4,20.1,NORTH AMERICA
Belize,28,16.2,LAC
Nigeria,27.2,20,AFRICA
Equatorial Guinea,26.9,16.7,AFRICA
South Sudan,26.9,22.9,AFRICA
Suriname,26.8,14.3,LAC
Fiji,25.9,19.7,OCEANIA
Latvia,25,6.5,EUROPE
"Congo, Democratic Republic of",24.8,21.1,AFRICA
Namibia,24.2,14.7,AFRICA
Somalia,24,21.9,AFRICA
Bosnia and Herzegovina,23.9,4.7,EUROPE
Togo,23.8,18.7,AFRICA
Benin,23.7,20.2,AFRICA
"Venezuela, Bolivarian Republic of",23.7,10.9,LAC
Mongolia,23.5,10.2,ASIA
Indonesia,23.4,13.9,ASIA
Maldives,23.2,13.4,ASIA
Peru,23.2,10.2,LAC
Solomon Islands,22.6,16,OCEANIA
Estonia,22.5,4.3,EUROPE
Nepal,21.5,14.3,ASIA
Myanmar,21.5,13.1,ASIA
Republic of Moldova,21.4,7.9,EUROPE
Nicaragua,21.2,13.3,NORTH AMERICA
Guatemala,21.1,11.7,NORTH AMERICA
Brunei,20.6,6.1,ASIA
Cabo Verde,20.5,11.1,AFRICA
Serbia,20.3,7,EUROPE
Bulgaria,20.3,7.4,EUROPE
Sao Tome and Principe,20.1,12.4,AFRICA
Gabon,20,13.4,AFRICA
Kyrgyzstan,19.9,10.9,ASIA
Honduras,19.6,12.5,NORTH AMERICA
Romania,19.5,8.9,EUROPE
Chad,19.3,16.9,AFRICA
Central African Republic,19.2,17.5,AFRICA
Lithuania,18.9,7.2,EUROPE
Ethiopia,18.9,15.3,AFRICA
Guam,18.7,8.1,OCEANIA
El Salvador,18.5,9.4,LAC
Panama,18.4,8.8,NORTH AMERICA
Ecuador,17.8,9,LAC
"Congo, Republic of",17.5,12.1,AFRICA
Morocco,17.2,12.6,AFRICA
Hungary,17.2,5.1,EUROPE
Dominican Republic,17.1,9.9,LAC
Haiti,17.1,12.5,NORTH AMERICA
Ukraine,17,6.6,EUROPE
Russian Federation,17,6.2,EUROPE
Vanuatu,17,10.6,OCEANIA
Argentina,16.7,7.7,LAC
Slovakia,16.6,5.7,EUROPE
Thailand,16.2,9,ASIA
Kazakhstan,15.7,7.5,ASIA
Barbados,15.5,9.4,LAC
Trinidad and Tobago,15.2,9.4,LAC
Philippines,14.9,8.8,ASIA
India,14.7,9.2,ASIA
Japan,14.7,2.7,ASIA
Cuba,14.6,6,NORTH AMERICA
Bhutan,14.4,10.2,ASIA
Sierra Leone,13.8,12,AFRICA
Eritrea,13.8,11.9,AFRICA
Turkmenistan,13.6,8.8,ASIA
Cambodia,13.5,10.1,ASIA
Djibouti,13.3,10.6,AFRICA
Belarus,13.3,3.8,EUROPE
Saint Lucia,13,10,LAC
Colombia,12.7,5.7,LAC
Samoa,12.6,7.5,OCEANIA
Timor-Leste,12.5,6.2,ASIA
Montenegro,12.5,4.2,EUROPE
Uruguay,12.4,6,LAC
Mauritius,12.4,5.4,AFRICA
Chile,12.2,5,LAC
Brazil,12.2,5.8,LAC
Libya,11.5,4.9,AFRICA
Lao People's Democratic Republic,11.4,7,ASIA
Costa Rica,11.2,5.6,NORTH AMERICA
"Korea, Democratic Republic of",11.1,3.6,ASIA
Mexico,11,5.8,NORTH AMERICA
Ireland,11,2.9,EUROPE
Denmark,10.9,2,EUROPE
Bahamas,10.9,7.9,NORTH AMERICA
China,10.7,4.4,ASIA
Norway,10.7,1.7,EUROPE
Bangladesh,10.6,7.1,ASIA
Malaysia,10.5,6,ASIA
Puerto Rico,10.2,3.5,LAC
The former Yugoslav Republic of Macedonia,10,3.5,EUROPE
Czechia,9.9,4,EUROPE
Uzbekistan,9.9,5.4,ASIA
Georgia,9.8,5.5,EUROPE
Niger,9.6,8.8,AFRICA
Poland,9.4,4.9,EUROPE
Sweden,9,2,EUROPE
Portugal,8.9,2.8,EUROPE
"Korea, Republic of",8.4,2,ASIA
Armenia,8.4,5.6,ASIA
United Kingdom,8.4,1.7,EUROPE
Sudan,8.2,6,AFRICA
Greece,8.1,2.1,EUROPE
Algeria,8.1,5.5,AFRICA
Croatia,7.9,3.7,EUROPE
Belgium,7.8,2,EUROPE
Sri Lanka,7.8,4.2,ASIA
Singapore,7.7,3.8,ASIA
Iceland,7.6,1.3,EUROPE
Germany,7.5,2.2,EUROPE
Pakistan,7.3,5.2,ASIA
Italy,7.1,1.5,EUROPE
Slovenia,7.1,2.8,EUROPE
Viet Nam,7.1,4,ASIA
France,6.7,2.3,EUROPE
Afghanistan,6.6,5.3,ASIA
United States of America,6.5,1.9,NORTH AMERICA
Albania,6.5,2.3,ASIA
Azerbaijan,6.5,4.6,ASIA
United Arab Emirates,6.4,4.4,ASIA
Oman,6.3,3.9,ASIA
New Zealand,6,1.8,OCEANIA
Australia,6,1.7,OCEANIA
Cyprus,5.7,1.5,ASIA
Tajikistan,5.7,3.2,ASIA
Canada,5.7,1.7,NORTH AMERICA
Lebanon,5.7,3.6,ASIA
The Netherlands,5.7,1.4,EUROPE
Luxembourg,5.6,2,ASIA
Austria,5.5,1.7,EUROPE
Spain,5.2,1.7,EUROPE
Israel,4.8,2.1,ASIA
Turkey,4.8,2.5,ASIA
Finland,4.7,0.9,EUROPE
Qatar,4,3.2,ASIA
Tunisia,4,2.8,AFRICA
Switzerland,3.8,1.1,EUROPE
Bahrain,3.8,2.7,ASIA
Malta,3.5,1.4,EUROPE
Syrian Arab Republic,3.5,2.7,ASIA
Kuwait,3.3,2.2,ASIA
Jordan,2.9,1.8,ASIA
Gaza Strip and West Bank,2.5,1.9,ASIA
Saudi Arabia,2.5,1.5,ASIA
Egypt,2.3,1.5,AFRICA
"Iran, Islamic Republic of",2.2,1.2,ASIA
Iraq,1.9,1.3,ASIA
Yemen,1.9,1.4,ASIA
